file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,6
style.css,2,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,23
style.css,3,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,4,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,5,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,5
style.css,6,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,24
style.css,7,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,0
style.css,8,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,0
style.css,9,css,e95f2a0d,bcan13,2025-04-03,18:54:06,-07:00,2025-04-03T18:54:06-07:00,0,5
style.css,10,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,24
style.css,11,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,16
style.css,12,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,14
style.css,13,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,43
style.css,14,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,0
style.css,15,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,16,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,7
style.css,17,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,17
style.css,18,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,19,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,20,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,4
style.css,21,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,40
style.css,22,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,23,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,20
style.css,24,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,17
style.css,25,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,26
style.css,26,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,40
style.css,27,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,28,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,29,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,6
style.css,30,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,7
style.css,31,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,21
style.css,32,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,14
style.css,33,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,18
style.css,34,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,14
style.css,35,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,36,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,37,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,12
style.css,38,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,21
style.css,39,css,d4b8450d,Brian Can,2025-04-18,17:32:32,-07:00,2025-04-18T17:32:32-07:00,0,70
style.css,40,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,47
style.css,41,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,42,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,0
style.css,43,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,9
style.css,44,css,01d79daa,bcan13,2025-04-11,23:30:51,-07:00,2025-04-11T23:30:51-07:00,0,44
style.css,45,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,21
style.css,46,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,47,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,48,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,5
style.css,49,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,50,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,31
style.css,51,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,52,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,53,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,6
style.css,54,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,55,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,56,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,57,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,9
style.css,58,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,59,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,60,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,61,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,6
style.css,62,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,63,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,30
style.css,64,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,65,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,19
style.css,66,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,8
style.css,67,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,18
style.css,68,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,69,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,0
style.css,70,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,7
style.css,71,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,13
style.css,72,css,61a49520,Brian Can,2025-04-10,23:23:23,-07:00,2025-04-10T23:23:23-07:00,0,19
